ticker,status,rows,last_date
SPY,OK,506,2026-07-07
ACWI,OK,506,2026-07-07
EEM,OK,506,2026-07-07
MCHI,OK,506,2026-07-07
EWZ,OK,506,2026-07-07
INDA,OK,506,2026-07-07
EWH,OK,506,2026-07-07
THD,OK,506,2026-07-07
SOXX,OK,506,2026-07-07
XLK,OK,506,2026-07-07
GLD,OK,506,2026-07-07
GLTR,OK,506,2026-07-07
HYG,OK,506,2026-07-07
LQD,OK,506,2026-07-07
BTC-USD,OK,741,2026-07-08
EWJ,OK,506,2026-07-07
VGK,OK,506,2026-07-07
IWM,OK,506,2026-07-07
IWF,OK,506,2026-07-07
IWD,OK,506,2026-07-07
XLC,OK,506,2026-07-07
XLF,OK,506,2026-07-07
XLV,OK,506,2026-07-07
XLU,OK,506,2026-07-07
XLRE,OK,506,2026-07-07
XLE,OK,506,2026-07-07
XLB,OK,506,2026-07-07
XLY,OK,506,2026-07-07
