week_ending,pctAbove200dma,pctAbove50dma
2025-12-26,64.0,63.8
2026-01-02,61.8,60.8
2026-01-09,68.6,72.0
2026-01-16,70.2,72.6
2026-01-23,69.8,67.4
2026-01-30,68.2,67.0
2026-02-06,69.4,68.8
2026-02-13,67.8,63.2
2026-02-20,68.2,66.0
2026-02-27,68.4,63.0
2026-03-06,58.0,45.0
2026-03-13,51.0,32.6
2026-03-20,46.4,20.6
2026-03-27,44.6,20.2
2026-04-03,49.8,30.8
2026-04-10,54.4,45.0
2026-04-17,62.2,61.4
2026-04-24,57.6,53.2
2026-05-01,58.6,55.4
2026-05-08,56.4,52.6
2026-05-15,53.2,45.4
2026-05-22,60.0,58.6
2026-05-29,59.8,55.0
2026-06-05,60.0,55.2
2026-06-12,62.2,61.4
2026-06-19,61.4,56.2
2026-06-26,65.2,64.2
2026-07-03,67.8,67.6
2026-07-10,67.6,68.6
2026-07-17,69.0,64.6
