asof,ticker,close,hma55,hma55_prev,margin_pct,color,near_flip
2026-08-07,SPY,771.33,743.4178,739.683,0.5,green,False
2026-08-07,ACWI,160.63,156.7039,156.1034,0.38,green,False
2026-08-07,EEM,66.0,67.6201,67.5336,0.13,green,True
2026-08-07,MCHI,56.09,52.826,53.0543,-0.43,red,False
2026-08-07,EWZ,36.09,37.5729,37.7755,-0.54,red,False
2026-08-07,INDA,50.53,47.7032,47.6741,0.06,green,True
2026-08-07,EWH,22.92,22.7271,22.7991,-0.32,red,False
2026-08-07,THD,73.39,74.6791,74.5146,0.22,green,True
2026-08-07,SOXX,542.21,573.4294,566.3879,1.24,green,False
2026-08-07,XLK,186.9,180.5999,178.7371,1.04,green,False
2026-08-07,GLD,374.16,407.8447,414.3512,-1.57,red,False
2026-08-07,GLTR,184.484,206.132,210.5697,-2.11,red,False
2026-08-07,HYG,79.55,79.5561,79.6043,-0.06,red,True
2026-08-07,LQD,106.76,107.8632,108.0829,-0.2,red,True
2026-08-07,BTCUSD,64131.2109,60246.9569,60453.4913,-0.34,red,False
2026-08-07,EWJ,94.61,93.5263,93.3042,0.24,green,True
2026-08-07,VGK,91.84,89.2288,89.0463,0.2,green,True
2026-08-07,IWM,301.71,294.0424,292.2301,0.62,green,False
2026-08-07,IWF,124.3,120.6787,120.3651,0.26,green,True
2026-08-07,IWD,256.63,244.9557,243.1187,0.76,green,False
2026-08-07,XLC,112.04,111.4137,111.899,-0.43,red,False
2026-08-07,XLF,57.88,52.9614,52.509,0.86,green,False
2026-08-07,XLV,162.1,154.6067,153.7987,0.53,green,False
2026-08-07,XLU,44.11,45.8466,45.901,-0.12,red,True
2026-08-07,XLRE,45.17,45.0253,44.8546,0.38,green,False
2026-08-07,XLE,58.52,60.0687,60.0322,0.06,green,True
2026-08-07,XLB,52.0,52.6648,52.7243,-0.11,red,True
2026-08-07,XLY,118.29,115.202,115.3002,-0.09,red,True
2026-08-07,GSPC,7736.52,7460.3983,7422.883,0.51,green,False
2026-08-07,SETBK,1617.13,1603.8099,1591.2425,0.79,green,False
