week_ending,VIX,VXN,GVZ,OVX,VXEWZ,VXEFA,VVIX,SKEW
1990-01-05,,,,,,,,121.27
1990-01-12,,,,,,,,116.78
1990-01-19,,,,,,,,129.31
1990-01-26,,,,,,,,122.76
1990-02-02,,,,,,,,132.53
1990-02-09,,,,,,,,126.06
1990-02-16,,,,,,,,136.61
1990-02-23,,,,,,,,125.82
1990-03-02,,,,,,,,126.44
1990-03-09,,,,,,,,125.6
1990-03-16,,,,,,,,136.73
1990-03-23,,,,,,,,130.76
1990-03-30,,,,,,,,111.33
1990-04-06,,,,,,,,114.91
1990-04-13,,,,,,,,121.52
1990-04-20,,,,,,,,120.88
1990-04-27,,,,,,,,118.84
1990-05-04,,,,,,,,116.35
1990-05-11,,,,,,,,119.51
1990-05-18,,,,,,,,124.68
1990-05-25,,,,,,,,111.93
1990-06-01,,,,,,,,119.33
1990-06-08,,,,,,,,122.13
1990-06-15,,,,,,,,138.31
1990-06-22,,,,,,,,139.62
1990-06-29,,,,,,,,107.31
1990-07-06,,,,,,,,107.27
1990-07-13,,,,,,,,109.33
1990-07-20,,,,,,,,109.71
1990-07-27,,,,,,,,127.62
1990-08-03,,,,,,,,119.6
1990-08-10,,,,,,,,123.01
1990-08-17,,,,,,,,117.36
1990-08-24,,,,,,,,113.42
1990-08-31,,,,,,,,119.48
1990-09-07,,,,,,,,117.82
1990-09-14,,,,,,,,119.03
1990-09-21,,,,,,,,118.22
1990-09-28,,,,,,,,113.24
1990-10-05,,,,,,,,117.23
1990-10-12,,,,,,,,111.92
1990-10-19,,,,,,,,117.56
1990-10-26,,,,,,,,111.79
1990-11-02,,,,,,,,115.29
1990-11-09,,,,,,,,117.11
1990-11-16,,,,,,,,119.97
1990-11-23,,,,,,,,116.37
1990-11-30,,,,,,,,122.65
1990-12-07,,,,,,,,124.43
1990-12-14,,,,,,,,122.14
1990-12-21,,,,,,,,129.61
1990-12-28,,,,,,,,127.59
1991-01-04,,,,,,,,121.95
1991-01-11,,,,,,,,114.58
1991-01-18,,,,,,,,125.61
1991-01-25,,,,,,,,124.2
1991-02-01,,,,,,,,121.25
1991-02-08,,,,,,,,121.05
1991-02-15,,,,,,,,118.94
1991-02-22,,,,,,,,114.92
1991-03-01,,,,,,,,116.36
1991-03-08,,,,,,,,118.51
1991-03-15,,,,,,,,102.73
1991-03-22,,,,,,,,103.4
1991-03-29,,,,,,,,105.67
1991-04-05,,,,,,,,108.51
1991-04-12,,,,,,,,116.64
1991-04-19,,,,,,,,105.7
1991-04-26,,,,,,,,108.51
1991-05-03,,,,,,,,110.58
1991-05-10,,,,,,,,113.66
1991-05-17,,,,,,,,117.32
1991-05-24,,,,,,,,116.19
1991-05-31,,,,,,,,117.2
1991-06-07,,,,,,,,113.52
1991-06-14,,,,,,,,121.08
1991-06-21,,,,,,,,124.86
1991-06-28,,,,,,,,114.98
1991-07-05,,,,,,,,118.18
1991-07-12,,,,,,,,119.14
1991-07-19,,,,,,,,123.06
1991-07-26,,,,,,,,111.76
1991-08-02,,,,,,,,109.76
1991-08-09,,,,,,,,108.84
1991-08-16,,,,,,,,112.48
1991-08-23,,,,,,,,111.17
1991-08-30,,,,,,,,115.36
1991-09-06,,,,,,,,114.5
1991-09-13,,,,,,,,115.25
1991-09-20,,,,,,,,120.99
1991-09-27,,,,,,,,108.36
