week_ending,SPY,ACWI,EEM,MCHI,EWZ,INDA,EWH,THD,SOXX,XLK,GLD,GLTR,HYG,LQD,BTCUSD,EWJ,VGK,IWM,IWF,IWD,XLC,XLF,XLV,XLU,XLRE,XLE,XLB,XLY,GSPC,SETBK,URTH,EFA,XLP,XLI,XBI,UUP,TLT,VYM,IAI
2023-09-01,451.19,96.77,39.63,45.89,31.44,44.24,18.43,68.84,170.6667,88.1,180.11,88.81,75.07,105.03,25969.5664,62.04,60.71,190.85,70.4975,159.85,67.1,34.69,133.57,31.32,37.0,45.37,41.91,84.835,4515.77,,125.91,71.49,72.14,108.8,81.13,29.07,94.85,108.03,95.42
2023-09-08,445.52,95.33,38.71,43.89,30.58,45.02,17.75,67.09,164.6433,86.395,178.08,86.53,74.62,104.72,25832.2266,61.61,59.59,183.92,69.605,157.55,66.96,34.3,132.06,31.59,36.62,46.025,40.9,84.375,4457.4902,,124.12,70.39,71.7,105.63,78.65,29.33,94.37,106.93,94.36
2023-09-15,443.37,95.82,39.13,44.22,32.26,45.12,17.54,66.76,160.3967,84.45,178.34,87.2,74.64,104.37,26534.1875,62.99,60.19,183.61,69.145,158.34,67.51,34.83,132.19,32.47,36.79,46.005,40.855,85.895,4450.3198,,124.62,71.38,72.05,105.0,77.11,29.42,92.96,107.77,96.53
2023-09-22,430.42,93.26,38.47,44.03,31.17,44.48,17.49,65.35,155.3533,82.205,178.62,87.79,74.0,103.84,26256.8262,61.8,58.67,176.67,66.795,154.21,65.62,33.66,130.15,31.645,34.57,44.655,39.185,80.465,4320.0601,,121.17,69.9,70.14,101.79,72.96,29.53,91.43,104.66,92.58
2023-09-29,427.48,92.37,37.95,43.29,30.67,44.22,17.15,62.49,157.8833,81.965,171.45,84.15,73.72,102.02,27983.75,60.29,57.93,176.74,66.4975,151.82,65.57,33.17,128.74,29.465,34.07,45.195,39.275,80.49,4288.0498,,120.17,68.92,68.81,101.38,73.02,29.73,88.69,103.32,91.03
2023-10-06,429.54,92.48,37.83,43.12,29.35,44.58,17.34,61.08,160.0633,84.11,169.7,82.25,72.69,99.98,27935.0898,59.38,57.68,173.0,67.87,149.57,66.91,33.04,130.01,28.625,33.56,42.865,38.995,80.305,4308.5,,120.25,68.52,66.67,100.78,72.23,29.74,84.79,101.31,91.14
2023-10-13,431.5,92.77,37.86,43.17,30.23,44.46,17.27,62.29,158.8967,84.315,178.83,86.18,72.75,101.38,27159.6523,59.58,57.59,170.27,68.0675,150.17,67.07,33.21,130.19,29.65,34.34,44.795,38.82,79.485,4327.7798,,120.68,68.43,66.8,101.75,69.6,29.93,87.61,102.46,89.9
2023-10-20,421.19,90.4,36.79,40.92,29.94,43.98,16.75,59.54,152.43,81.97,183.59,88.11,71.93,98.67,29993.8965,58.13,55.98,166.44,66.125,147.39,66.52,32.2,128.06,29.015,32.75,45.13,37.65,75.845,4224.1602,,117.65,66.57,67.27,98.7,66.92,29.84,83.24,101.21,87.39
2023-10-27,410.68,88.59,36.53,41.92,29.93,42.96,16.81,59.91,148.11,80.56,186.15,88.68,72.36,99.61,34538.4805,57.82,55.18,162.21,64.3675,143.69,63.09,31.45,123.14,29.365,32.35,42.315,37.475,74.795,4117.3701,,115.01,65.84,66.58,96.44,64.12,29.97,84.37,98.71,85.18
2023-11-03,434.69,93.79,38.46,43.25,31.9,44.15,17.54,63.49,158.42,85.88,184.79,88.44,74.41,101.91,35049.3555,62.0,58.24,174.49,68.41,151.83,67.56,33.78,127.41,30.93,35.11,43.34,39.395,80.11,4358.3398,,121.93,69.66,68.75,101.6,71.46,29.61,87.63,103.82,92.2
